"category_id","views","likes","dislikes","comment_count","ratings_disabled_True","video_error_or_removed_False","video_error_or_removed_True"
22,-0.274560292491398,-0.293222216252724,-0.14513962407275,-0.230305945252922,0,1,0
24,-0.305915747531661,-0.381790370412627,-0.14798022502319,-0.254191797519707,0,1,0
28,-0.308412795607355,-0.382099099736749,-0.145041672315839,-0.239951016894918,0,1,0
26,-0.304464908687639,-0.368029046650378,-0.147921453969043,-0.252811112417581,0,1,0
24,-0.299628709078078,-0.379169029762444,-0.147216201319279,-0.249280503370715,0,1,0
24,-0.282412095141967,-0.383242541677941,-0.147862682914896,-0.257051788088397,0,1,0
17,-0.302668559389499,-0.383551271002063,-0.148822610132631,-0.256637582557759,0,1,0
10,-0.309361384591981,-0.383411199364267,-0.148019405725955,-0.25734764918171,0,1,0
20,-0.255053863116101,-0.277365535133239,-0.13744061597949,-0.126754562593448,0,1,0
26,-0.3054013477385,-0.369984332369816,-0.147020297805455,-0.252653319834481,0,1,0
17,-0.303209888905983,-0.368166259683321,-0.148195718888396,-0.247485612737951,0,1,0
10,-0.302566257999142,-0.358023929664945,-0.146628490777809,-0.23659792450404,0,1,0
24,-0.272206939736247,-0.384388842223987,-0.148998923295072,-0.257998543586998,1,1,0
24,-0.3095394784263,-0.381447337830269,-0.148411212753602,-0.256203652954234,0,1,0
22,-0.289428445204134,-0.379068978592589,-0.146412996912603,-0.25257442354293,0,1,0
20,-0.271610435845222,-0.288316850325009,-0.112835134643267,0.0107419495054452,0,1,0
10,-0.307610374007717,-0.383408340759414,-0.148705068024337,-0.257525165837698,0,1,0
2,-0.273869481971626,-0.337644935668045,-0.144610684585427,-0.241410598288595,0,1,0
23,-0.292028268044229,-0.341138150798387,-0.14463027493681,-0.235453928276564,0,1,0
17,-0.309142002021708,-0.384237336166779,-0.148998923295072,-0.25734764918171,0,1,0
17,-0.305542360606135,-0.371476524103072,-0.14772555045522,-0.246104927635824,0,1,0
10,0.0278536627998504,0.556412318150222,0.0411058465191857,0.0882772800262815,0,1,0
24,-0.255506198312541,-0.25058040766081,-0.0826659935144582,-0.123815675733208,0,1,0
10,-0.234063826893598,-0.197939199293169,-0.113266122373678,-0.147622631708443,0,1,0
23,-0.30095641807386,-0.38192758344557,-0.147764731157984,-0.24955664039114,0,1,0
24,-0.252966967349923,-0.313160985102265,-0.139909000253665,-0.239536811364281,0,1,0
10,-0.299734061101156,-0.36660260282874,-0.142299023122311,-0.25170656433588,0,1,0
26,-0.306300390239982,-0.376907873323736,-0.147314153076191,-0.254211521592595,0,1,0
25,-0.302550584058614,-0.381072860594529,-0.126195754286025,-0.257998543586998,0,1,0
17,-0.222060323499337,-0.315250625249794,-0.0837630531918694,-0.190660558749009,0,1,0
24,0.57514537794909,0.355703954212736,0.502008043491573,0.43058856498917,0,1,0
24,-0.248361879467473,-0.32190259874268,-0.0115530179965526,-0.0238935224850378,0,1,0
24,-0.27819938174387,-0.339491594403071,-0.142083529257105,-0.216499094231659,0,1,0
24,-0.295852709533009,-0.373849166131046,-0.142730010852722,-0.226361130675418,0,1,0
24,0.0248453181608322,0.519827893241774,-0.0544558875238841,0.196246855012559,0,1,0
10,-0.298016502282582,-0.362546242542361,-0.145335527586574,-0.248688781184089,0,1,0
28,-0.275927659712542,-0.365850789752406,-0.135011412408079,-0.208747533586864,0,1,0
26,-0.300811039645609,-0.364638741294742,-0.145903647776662,-0.247682853466826,0,1,0
10,-0.167509435168349,0.0579716829602294,-0.116008771567206,-0.0544855595335794,0,1,0
10,-0.207711041334609,0.00761735847497301,-0.105978511659447,-0.0250769668582889,0,1,0
10,-0.302003731844965,-0.367051403790658,-0.14672644253472,-0.246578305385125,0,1,0
10,-0.103018796478297,0.590346816359957,-0.114363182051089,0.370647107484,0,1,0
24,-0.303986958695773,-0.357752362203912,-0.147333743427573,-0.244842586971023,0,1,0
23,-0.310355417484715,-0.382067655083366,-0.148705068024337,-0.254191797519707,0,1,0
22,-0.307580604040138,-0.373680508444721,-0.147510056590014,-0.248037886778801,0,1,0
20,-0.299019371490781,-0.376573416555937,-0.141946396797429,-0.248077334924576,0,1,0
10,-0.300088828647666,-0.352378185080308,-0.146648081129191,-0.249201607079165,0,1,0
24,-0.308115990082528,-0.383862858931038,-0.145335527586574,-0.256361445537334,0,1,0
22,-0.306682929063669,-0.36804048106979,-0.148450393456366,-0.239970740967806,0,1,0
25,-0.298832599132344,-0.376027423029018,-0.144924130207545,-0.242160113058321,0,1,0
25,-0.249860792075396,-0.370155848660995,-0.141221553796282,-0.19677502134414,0,1,0
24,-0.292173225695553,-0.342152955521196,-0.145198395126897,-0.226361130675418,0,1,0
10,-0.306401429299559,-0.377911243627132,-0.141809264337752,-0.256558686266209,0,1,0
10,-0.27969171971231,-0.321588152208852,-0.143239359988663,-0.217327505292934,0,1,0
24,-0.310258849179987,-0.383073883991615,-0.148861790835396,-0.256085308516909,0,1,0
10,-0.272616934254416,-0.372934412578093,-0.147608008346926,-0.253264766093994,0,1,0
10,0.973127871990233,0.326500447034684,0.0267657093073105,-0.257998543586998,0,1,0
10,-0.310803755300349,-0.384260205005602,-0.148998923295072,-0.25782102693101,0,1,0
26,-0.308218659652697,-0.379660709797156,-0.147294562724808,-0.25472434748767,0,1,0
22,-0.3038922312901,-0.381430186201151,-0.147784321509367,-0.256815099213747,0,1,0
26,-0.302193870418817,-0.364807398981068,-0.141593770472546,-0.241509218653032,0,1,0
24,-0.289267498029587,-0.343553671899156,-0.138870711630401,-0.187445534868343,0,1,0
24,-0.308168744989741,-0.379958004701866,-0.148489574159131,-0.257209580671497,0,1,0
17,-0.247507018543318,-0.349533873251592,-0.142220661716781,-0.172455239473829,0,1,0
10,-0.232080915625485,-0.192213413772648,-0.120142335708881,-0.166380225024473,0,1,0
25,-0.301447780330271,-0.37676780168594,-0.146648081129191,-0.245039827699898,0,1,0
22,-0.301702034788363,-0.37690215611403,-0.114382772402472,-0.237150198544891,0,1,0
22,-0.305915484546081,-0.373594750299131,-0.147216201319279,-0.251686840262992,0,1,0
24,-0.155825722238547,-0.0555606673807551,0.11554918177209,-0.0254714483160393,0,1,0
24,-0.301849569698364,-0.373137373522654,-0.147941044320426,-0.247978714560139,0,1,0
23,-0.309433600432064,-0.382187716487191,-0.148411212753602,-0.256755926995084,0,1,0
17,-0.310050512004045,-0.382093382527043,-0.148744248727102,-0.254980760435208,0,1,0
26,-0.306725848310215,-0.377328088237124,-0.147118249562367,-0.255631654840496,0,1,0
20,-0.305679428690079,-0.382759437457788,-0.148176128537014,-0.256105032589796,0,1,0
22,-0.307514384271264,-0.368552171338473,-0.148176128537014,-0.239181778052305,0,1,0
24,-0.306234065276876,-0.374709606191794,-0.148372032050837,-0.25519772523697,0,1,0
23,0.368848391534861,0.159077678005306,0.179296185170234,-0.0393966437746276,0,1,0
20,0.0735607668750546,0.00357814981771118,-0.0819607408646938,0.254551214468065,0,1,0
2,-0.30517607429125,-0.375178417387683,-0.147784321509367,-0.247367268300625,0,1,0
23,-0.291921758884602,-0.34209006621443,-0.122591129631673,-0.200542319265656,0,1,0
28,-0.221342688450474,-0.235752824288398,0.0158538835873454,-0.0721583288407962,0,1,0
22,-0.302772754276028,-0.377896950602867,-0.14798022502319,-0.250483671816853,0,1,0
20,-0.272633134166102,-0.308973128992648,-0.136990037897696,-0.208806705805526,0,1,0
17,-0.310103477299721,-0.382453566738519,-0.148842200484013,-0.255256897455633,0,1,0
10,0.739508577380275,1.60167833427176,0.247842824657053,0.731439848742494,0,1,0
24,-0.286488476815741,-0.329529356490433,-0.116498530351765,-0.238945089177655,0,1,0
23,-0.29064875088932,-0.282653954111254,-0.139047024792842,-0.174644611564344,0,1,0
22,-0.290305607305416,-0.331716189202963,-0.144806588099251,-0.240838600174857,0,1,0
27,-0.201080806700007,-0.0425454394851336,-0.1289971745337,-0.0842491855208452,0,1,0
23,-0.11752981477431,-0.0725665076511377,0.0126410659606411,-0.13350019552098,0,1,0
26,-0.294449102899034,-0.352055162731921,-0.140614252903429,-0.253245042021106,0,1,0
17,-0.18616126660507,-0.280984528877113,-0.117909035651293,-0.205887543018174,0,1,0
17,-0.289661187441837,-0.377493887318597,-0.143454853853869,-0.237406611492429,0,1,0
10,0.424520334793397,0.211690300324418,0.0173035695896388,-0.0296135036224182,0,1,0
23,-0.0894445854129574,-0.0137221267525285,-0.132229582511786,-0.173204754243555,0,1,0
10,-0.289505973352919,-0.367754620584491,-0.137283893168431,-0.202475278408633,0,1,0
23,-0.302124810405686,-0.37293155397324,-0.147941044320426,-0.245256792501661,0,1,0
22,-0.26168783214593,-0.332650952989888,-0.143866251232898,-0.240523015008656,0,1,0
24,-0.306509621566893,-0.384151578021189,-0.146883165345779,-0.256538962193322,0,1,0
23,-0.309844646892549,-0.380609766608346,-0.147666779401073,-0.256657306630647,0,1,0
20,-0.274596742292693,-0.357763796623324,-0.13618683349102,-0.247682853466826,0,1,0
24,-0.246181729014866,-0.266860162298535,-0.136539459815902,-0.204349065332947,0,1,0
